SN,position
4325835511,6041706
4273772204,6854831
4316497415,4333860
4288800434,6889715
4275007833,314663
4251764580,2821363
4331381471,7163202
4301964494,1572364
4332528981,7601374
4277790134,631327
4297650862,662690
4311053810,3443956
4256516950,3922885
4290513894,7111807
4313417570,3838442
4270337186,6372879
4306873045,2477118
4254244374,3261659
4294249256,7678605
4277953853,913967
4294190670,7533971
4326236316,6097814
4271388730,6367037
4305418423,2167548
4280420535,1221069
4324846945,5828192
4267623371,6034391
4320441064,5020662
4305613303,2306098
4276524770,504157
4316420640,4167118
4341461235,8621583
4331446700,7037250
4343658071,29290
4335067203,7689926
4253846800,3205903
4252772300,2929891
4284107590,2163811
4306922443,2485702
4314756692,4009314
4304799715,2077126
4258617425,4334077
4250167972,2825677
4308390693,2786968
4315266594,4081206
4253476242,3305371
4327205142,6213486
4313291636,4192698
4288471611,7020889
4342527313,8626080
4263298480,4886961
4263278493,5001519
4269128301,6026983
4336022040,8011474
4254455236,3937149
4251823413,3111881
4313018566,3661996
4250542240,2628397
4266536971,5520069
4300435215,1247608
4273347606,6866007
4342275851,8624965
4284794684,2014793
4250281173,2731039
4273083920,6747295
4317926292,4496472
4285621491,2284617
4300696713,1284850
4285761594,2307589
4289259800,7065007
4335492862,7855122
4265416120,5256959
4326021405,6066078
4276026134,360821
4255786242,3600397
4325263530,5880958
4290146055,7155163
4338396893,8241288
4290945385,7318719
4283036660,1696297
4320790596,5068090
4296377492,8294123
4325496302,5900684
4337094156,7936120
4286192352,2190285
4316129020,4157178
4270074690,6237405
4263137104,5084257
4256956141,3740969
4329396676,6728650
4254112962,3277919
4304579731,2039238
4264639536,5557169
4250976984,2681367
4309751246,2981294
4256730214,3676123
4316030364,4270390
4264285756,5365929
4246229680,2478027
4324048201,5550354
4331721730,7360278
4330092583,6827022
4335978861,7872922
4306851861,2474050
4269856625,6151367
4273226403,6763771
4255927093,3866235
4277241872,681491
4337234101,8031522
4321721386,5279468
4259838332,4463279
4285290376,2018989
4310062691,3132594
4301682781,1432418
4280865013,1419479
4340368384,8542395
4259347153,4229297
4275362921,211977
4248771450,2549447
4281298921,1422775
4304772301,2072724
4315675416,4235372
4338999501,8450142
4316366736,4166144
4267535322,5900097
4278351545,915963
4303955305,1943426
4315893083,4256270
4320504834,5029124
4270009866,6303289
4265796065,5376433
4296264092,8172315
4255818420,3768233
4335652790,7708364
4314968910,8058977
4297113741,783954
4314094444,3904604
4343562591,73748
4258154106,3934531
4322405776,5365084
4326239223,6098184
4277359763,1262807
4328046564,6440664
4326786612,6174348
4264582405,5351429
4336618263,7863122
4275397335,281423
4257700860,3930555
4340456805,8478602
4341229126,31378
4332876903,7427994
4335379311,7979460
4250453303,2817801
4320460690,5023354
4320254805,5583882
4292907743,7567221
4298482613,741692
4318652111,4727742
4299927111,1198186
4294320995,8220017
4334581241,7653950
4293691183,7633005
4307826121,2591902
4308809584,2856332
4333061736,7459150
4265727605,5827739
4305826906,2208700
4305104882,2125078
4330225023,6848786
4304087384,1961948
4317010751,4410366
4317900112,4495734
4345236136,339140
4343694865,160220
4289381180,7047055
4336899534,8217728
4314446474,3956104
4338032311,8145102
4273141224,6849175
4337322146,7993640
4253719890,3307019
4280881824,1419601
4334729125,7701664
4266746503,5623239
4334190114,7385942
4297394802,628466
4324723141,5808716
4266444906,5639165
4330187912,7161234
4313094914,3673954
4304026252,1953638
4269673612,6149627
4303572663,1781184
4280345101,1235135
4300420412,1245148
4314725973,4003492
4315163381,4067368
4292503401,7462187
4316505185,4335050
4293681055,7603709
4339109095,8413069
4301996160,1461782
4274782610,111253
4266213346,5516187
4261754055,4568441
4270576192,6069139
4272552793,6650695
4319185846,4908710
4297091794,8387667
4295949081,8157405
4324022555,5701468
4307202642,2523392
4296077752,7978977
4335083001,7582906
4256395404,3835201
4284218724,1910125
4314527232,3969854
4263038776,4812241
4294957273,7873153
4276509086,468627
4324860654,5830072
4266679373,5678391
4304566092,2036646
4320750394,5063012
4299213251,971768
4311610634,3349758
4323715826,5664038
4345234725,306870
4340617094,8604427
4283386376,1589165
4285224705,2099587
4343689055,160122
4302583806,1652954
4310474232,3012738
4329118776,6588968
4306602646,2435398
4267298490,5669663
4341827092,8577672
4294678636,7842027
4333794916,7482068
4339271355,8392246
4273699382,208685
4314384933,3945194
4310236442,3005826
4306439185,2408738
4327147930,6319014
4259215236,4243661
4312682640,3612070
4305728895,2202402
4328950496,6569424
4294622205,7710647
4279867793,1849525
4328622966,6529078
4309979704,3123044
4335022683,7642396
4343608780,144506
4301812550,1448202
4343234232,82968
4295805220,7990219
4340085271,8535118
4270374404,6206593
4321135696,5240880
4340212623,8439360
4324421231,5761842
4335730195,7756132
4345121303,479392
4261763590,4721267
4330344362,6868376
4330702235,6923212
4283951092,7444953
4339490072,8475254
4337068175,8005494
4315757051,4242120
4326280722,6104224
4280527263,1253541
4303907005,1936566
4306693425,2449476
4323534876,5646156
4343931911,227632
4323823162,5677496
4272524933,6861899
4293293454,7852309
4304040591,1955848
4300461281,1251496
4344091706,346916
4282635932,1655379
4300873776,1312224
4266218736,5500695
4275519824,424861
4325329164,5986488
4327254083,6217162
4327968330,6428814
4314516426,3967826
4307442156,2554024
4271862652,6464893
4281941451,1597765
4281220053,1275047
4316075584,4276244
4254596253,3225541
4256660925,3852457
4271716621,6582431
4320460701,5023356
4256391661,3786913
4262439650,4766773
4310899180,3255010
4311328991,4190362
4319175453,4907722
4282030955,1462127
4331707435,7119834
4314568086,3976958
4301023543,1336024
4271384714,6466877
4313668612,3857606
4334882484,7641760
4276761495,622919
4327856293,6411954
4298302083,731818
4320272386,4996780
4257699386,4028633
4308826476,2858884
4298839753,911888
4309705142,3091956
4344329043,361444
4317420726,4455398
4309878646,2990246
4326622742,6153928
4305164032,2133658
4259888135,4274559
4312263616,3547388
4277705644,740675
4290922823,7257971
4287922391,2469731
4296556412,8314751
4310124630,3140990
4284085304,1943433
4322724840,5415876
4313807072,3748962
4343888216,120020
4291796320,7134697
4343173903,70038
4276186600,431461
4282097886,1708093
4298839893,911916
4318752970,4743764
4332005860,7305762
4321838113,5292874
4290728503,7098145
4266004094,5363849
4332788132,7235092
4258854600,4264151
4333051730,7628650
4306534083,2424242
4288477465,7006639
4340760701,8522098
4285064232,2001619
4312518781,3585300
4314758475,4009574
4285577391,2217569
4321235531,5122984
4284614316,1948707
4306870676,2476656
4279578284,1013649
4294376332,7664317
4250620290,2562897
4260472230,4468613
4254064754,3346939
4278843575,1183449
4343947580,359156
4307840250,2593040
4259508374,4198089
4341137916,8516039
4299041725,942738
4326318743,6274738
4266336734,5465067
4283606176,1720045
4301756686,1442362
4326527450,6141766
4255372262,3564853
4311784050,3487576
4322909485,5442532
4335327006,7627650
4270307672,6315189
4303893252,1935314
4298975041,933112
4331518995,7146916
4295660751,7975541
4343479630,172312
4275485303,302567
4303855312,1931298
4270191122,6324233
4283291482,1802785
4336088481,7829396
4269035680,6077219
4306713202,2452728
4334937526,7763464
4273201354,176327
4300343736,1236112
4298909090,922658
4306875591,2477592
4306220822,2372636
4338631485,8195774
4296253802,8280491
4323483275,5514670
4304053762,1957774
4306185321,2367602
4249592045,2511255
4304817160,2080166
4307500886,2560984
4287448465,2452479
4336611731,7960080
4302170821,8021753
4294512084,7561735
4327240131,6215922
4282693693,1728103
4276091886,483043
4341867600,11028
4261212340,4458671
4336341376,7802796
4325660076,6018798
4304998250,2108968
4271428766,6349629
4310113905,3139754
4289225570,7045425
4270104274,6218787
4266344600,5549879
4265413106,5477087
4335809520,7826704
4292873480,7510545
4287451770,6907951
4257851975,4029853
4336430173,7931496
4299367962,995186
4267371393,5796767
4268380104,6056617
4289491065,7048319
4307291483,2672760
4284571034,1830867
4323297451,5627230
